cwe_id,bf_class_id
15,6
23,2
36,2
41,2
59,6
66,6
73,6
76,2
78,2
79,2
88,2
89,2
90,2
91,2
93,2
94,2
96,2
112,2
115,6
117,2
120,3
123,3
124,3
125,3
128,1
129,2
130,2
131,1
134,2
135,1
140,2
166,2
167,2
168,2
170,2
178,6
179,6
182,6
183,6
184,6
186,6
188,1
190,1
191,1
192,1
193,1
197,6
198,6
201,6
204,6
205,6
208,6
209,6
212,6
213,6
214,6
215,6
222,6
223,6
224,6
226,3
229,2
233,2
237,2
241,6
242,6
243,6
248,6
250,6
252,6
253,6
256,4
257,4
260,6
261,4
262,6
263,6
266,6
267,6
268,6
270,6
272,6
273,6
274,6
276,6
277,6
278,6
279,6
280,6
281,6
283,6
288,6
290,6
294,6
295,4
296,4
299,6
303,6
304,6
305,6
306,6
307,6
308,6
309,6
312,4
317,4
319,6
321,4
322,4
323,4
324,4
325,4
328,6
331,5
334,5
335,5
338,5
341,5
342,5
343,5
346,6
347,4
348,6
349,6
351,1
353,6
354,6
356,6
357,6
359,6
363,6
364,6
366,6
367,6
368,6
369,1
372,6
374,1
375,1
378,6
379,6
385,6
386,1
390,6
391,6
392,6
393,6
394,6
395,6
396,6
397,6
403,6
408,6
409,6
410,6
412,6
413,6
414,6
419,6
420,6
421,6
425,6
426,6
427,6
428,2
430,6
431,6
432,6
433,6
434,6
437,6
439,6
440,6
444,6
447,6
448,6
449,6
450,6
454,6
455,6
459,3
460,6
462,6
463,6
464,6
466,3
467,1
468,1
469,1
470,6
471,1
472,2
474,6
475,6
476,3
477,6
478,6
479,6
480,6
483,6
484,6
487,6
488,6
489,6
494,6
497,6
501,6
502,6
515,6
521,6
523,6
524,6
532,6
540,6
544,6
546,6
547,6
549,6
551,6
561,6
562,6
563,6
565,6
567,6
570,6
571,6
580,1
581,1
584,6
585,6
586,6
587,6
588,1
588,3
595,1
597,1
600,6
601,6
603,6
605,6
606,2
609,6
611,6
612,6
613,6
617,6
618,6
619,6
620,6
621,6
624,2
625,6
627,6
628,1
639,6
640,6
641,2
643,2
645,6
648,6
649,6
652,2
663,6
676,6
681,1
694,1
695,6
698,6
708,6
733,6
749,1
756,6
763,6
764,6
765,6
766,1
767,1
770,3
771,6
772,6
776,6
778,6
779,6
783,6
786,3
787,3
788,3
791,2
795,2
798,6
804,6
805,3
820,6
821,6
822,3
823,6
824,3
825,3
826,6
828,6
829,6
831,6
832,6
833,6
835,6
836,6
837,6
838,6
839,6
841,6
842,6
843,1
843,3
908,3
909,3
910,6
911,6
914,2
915,6
916,6
917,2
920,6
921,6
924,6
939,6
940,6
941,6
1007,6
1021,6
1024,1
1025,1
1037,6
1041,6
1043,1
1044,6
1045,1
1046,6
1047,6
1048,6
1049,6
1050,6
1051,6
1052,6
1053,6
1054,1
1055,1
1056,6
1057,1
1058,6
1060,6
1062,1
1063,6
1064,6
1065,6
1066,6
1067,6
1068,6
1069,6
1070,6
1071,6
1072,6
1073,6
1074,1
1075,6
1077,1
1079,1
1080,6
1082,1
1083,1
1084,6
1085,6
1086,1
1087,1
1088,6
1089,6
1090,1
1091,6
1092,6
1094,6
1095,6
1097,1
1098,6
1099,6
1100,6
1101,6
1102,1
1103,6
1104,6
1105,1
1106,6
1107,6
1108,6
1109,6
1110,6
1111,6
1112,6
1113,6
1114,6
1115,6
1116,6
1117,6
1118,6
1119,6
1121,6
1122,6
1123,6
1124,6
1125,6
1126,6
1127,6
1173,6
1188,6
1220,6
1230,6
1235,6
1236,2
1240,6
1241,6
1265,6
1339,1
1389,6
