cwe_id,operation_id
15,9
15,11
23,10
36,10
41,9
59,26
66,26
73,9
73,11
76,10
78,10
79,10
88,10
89,10
90,10
91,10
93,10
94,10
96,10
112,9
115,26
117,10
120,26
123,26
124,26
125,26
128,5
129,11
130,11
131,5
134,9
135,5
140,10
166,10
167,10
168,10
170,11
178,26
179,26
182,26
183,9
183,11
184,9
184,11
186,9
186,11
188,5
190,5
191,5
192,8
193,5
197,26
198,26
201,26
204,26
205,26
208,26
209,26
212,26
213,26
214,26
215,26
222,26
223,26
224,26
226,26
229,10
233,9
237,9
241,26
242,26
243,26
248,26
250,26
252,26
253,26
256,26
257,26
260,26
261,26
262,26
263,26
266,26
267,26
268,26
270,26
272,26
273,26
274,26
276,26
277,26
278,26
279,26
280,26
281,26
283,26
288,26
290,26
294,26
295,26
296,26
299,26
303,26
304,26
305,26
306,26
307,26
308,26
309,26
312,26
317,26
319,26
321,26
322,26
323,26
324,26
325,26
328,26
331,26
334,26
335,26
338,26
341,26
342,26
343,26
346,26
347,26
348,26
349,26
351,6
353,26
354,26
356,26
357,26
359,26
363,26
364,26
366,26
367,26
368,26
369,5
372,26
374,2
375,2
378,26
379,26
385,26
386,4
390,26
391,26
392,26
393,26
394,26
395,26
396,26
397,26
403,26
408,26
409,26
410,26
412,26
413,26
414,26
419,26
420,26
421,26
425,26
426,26
427,26
428,10
430,26
431,26
432,26
433,26
434,26
437,26
439,26
440,26
444,26
447,26
448,26
449,26
450,26
454,26
455,26
459,26
460,26
462,26
463,26
464,26
466,26
467,5
468,5
469,5
470,26
471,1
472,11
474,26
475,26
476,26
477,26
478,26
479,26
480,26
483,26
484,26
487,26
488,26
489,26
494,26
497,26
501,26
502,26
515,26
521,26
523,26
524,26
532,26
540,26
544,26
546,26
547,26
549,26
551,26
561,26
562,26
563,26
565,9
565,11
567,26
570,26
571,26
580,2
581,2
584,26
585,26
586,26
587,26
588,7
588,26
595,6
597,6
600,26
601,26
603,26
605,26
606,11
609,26
611,26
612,26
613,26
617,26
618,26
619,26
620,26
621,26
624,9
625,9
625,11
627,26
628,4
639,26
640,26
641,9
643,10
645,26
648,26
649,26
652,10
663,26
676,26
681,8
694,1
695,26
698,26
708,26
733,26
749,2
756,26
763,26
764,26
765,26
766,1
767,2
770,26
771,26
772,26
776,26
778,26
779,26
783,26
786,26
787,26
788,26
791,10
795,10
798,26
804,26
805,26
820,26
821,26
822,26
823,26
824,26
825,26
826,26
828,26
829,26
831,26
832,26
833,26
835,26
836,26
837,26
838,26
839,26
841,26
842,26
843,8
843,26
908,26
909,26
910,26
911,26
914,11
915,26
916,26
917,10
920,26
921,26
924,26
939,26
940,26
941,26
1007,26
1021,26
1024,6
1025,6
1037,26
1041,26
1043,2
1044,26
1045,2
1046,26
1047,26
1048,26
1049,26
1050,26
1051,26
1052,26
1053,26
1054,2
1055,2
1056,26
1057,2
1058,26
1060,26
1062,2
1063,26
1064,26
1065,26
1066,26
1067,26
1068,26
1069,26
1070,26
1071,26
1072,26
1073,26
1074,2
1075,26
1077,6
1079,2
1080,26
1082,2
1083,2
1084,26
1085,26
1086,2
1087,2
1088,26
1089,26
1090,2
1091,26
1092,26
1094,26
1095,26
1097,2
1098,26
1099,26
1100,26
1101,26
1102,2
1103,26
1104,26
1105,2
1106,26
1107,26
1108,26
1109,26
1110,26
1111,26
1112,26
1113,26
1114,26
1115,26
1116,26
1117,26
1118,26
1119,26
1121,26
1122,26
1123,26
1124,26
1125,26
1126,26
1127,26
1173,9
1173,11
1188,26
1220,26
1230,26
1235,26
1236,10
1240,26
1241,26
1265,26
1339,5
1389,26
